date_start,date_end,pollster,poll_sponsor,poll_type,poll_subject,question_text,population,party,sample_size,pct_concern_very,pct_concern_some,pct_concern_not_very,pct_concern_none,poll_url
2021-03-26,2021-03-28,Léger,Association for Canadian Studies,0,1,Are you personally afraid of contracting the COVID-19 (Coronavirus)?,a,all,1001,20.0,32.0,21.0,19.0,https://2g2ckk18vixp3neolz4b6605-wpengine.netdna-ssl.com/wp-content/uploads/2021/03/Legers-North-American-Tracker-March-29th-2021-min.pdf
2021-03-20,2021-03-23,YouGov,Economist,0,1,"Taking into consideration both your risk of contracting it and the seriousness of the illness, how worried are you personally about experiencing COVID-19?",a,all,1500,18.0,34.0,30.0,17.0,https://docs.cdn.yougov.com/5v6z1pywv7/econTabReport.pdf
2021-03-15,2021-03-21,Echelon Insights,,0,1,How personally concerned are you about the chances of you or someone in your family becoming infected with the coronavirus?,rv,all,1008,35.0,28.0,32.0,,https://echeloninsights.com/in-the-news/march-omnibus-covid/
2021-03-12,2021-03-18,SSRS,Washington Post/University of Maryland,0,1,"How do you feel about the possibility that you or someone in your immediate family might catch the coronavirus - very worried, somewhat worried, not too worried, or not worried at all?",a,all,1500,22.0,38.0,28.0,12.0,https://www.washingtonpost.com/context/march-12-18-washington-post-university-of-maryland-national-sports-poll/0bc3be9a-c996-4bb9-8d4f-df1dbafbd38e/?itid=lk_inline_manual_2
2021-03-12,2021-03-14,RMG Research,Healthinsurance.com,0,1,Are you afraid of getting COVID-19?,a,all,1000,62.0,,38.0,,https://www.healthinsurance.com/learning-center/article/coronavirus-anniversary-survey
2021-03-12,2021-03-14,Harris Poll,,0,0,How concerned are you about the impact coronavirus (COVID-19) has on the following? The American economy,a,all,1977,43.0,41.0,11.0,5.0,https://theharrispoll.com/wp-content/uploads/2021/03/Wave-55-Data-Tabs.pdf
2021-03-12,2021-03-14,Léger,Association for Canadian Studies,0,1,Are you personally afraid of contracting the COVID-19 (Coronavirus)?,a,all,1003,20.0,35.0,19.0,18.0,https://2g2ckk18vixp3neolz4b6605-wpengine.netdna-ssl.com/wp-content/uploads/2021/03/Legers-North-American-Tracker-March-15th-2021-min.pdf
2021-03-10,2021-03-13,YouGov,CBS News,0,1,"Are you concerned, or not concerned about yourself personally or a close family member getting the coronavirus?",a,all,2382,29.0,39.0,21.0,11.0,https://drive.google.com/file/d/1fIZaAH0X45MazScguHAnitO4SsV_PdhR/view
2021-03-06,2021-03-09,YouGov,Economist,0,1,"Taking into consideration both your risk of contracting it and the seriousness of the illness, how worried are you personally about experiencing COVID-19?",a,all,1500,22.0,35.0,25.0,18.0,https://docs.cdn.yougov.com/pzzc3d0izz/econTabReport.pdf
2021-03-05,2021-03-07,Harris Poll,,0,0,How concerned are you about the impact coronavirus (COVID-19) has on the following? The American economy,a,all,1963,46.0,38.0,10.0,5.0,https://theharrispoll.com/wp-content/uploads/2021/03/Wave-54-Data-Tabs.pdf
2021-03-05,2021-03-06,Ipsos (online),ABC News,0,1,How concerned are you that you or someone you know will be infected with the coronavirus?,a,all,521,27.0,45.0,20.0,8.0,https://www.ipsos.com/sites/default/files/ct/news/documents/2021-03/topline_abc_ipsos_poll_030721.pdf
2021-03-02,2021-03-02,Data for Progress,,0,1,How worried are you personally about experiencing coronavirus (COVID-19)?,a,all,963,31.17,33.4,20.47,12.56,https://docs.google.com/spreadsheets/d/1zGGmAuDVWSRBN_AUpF2H2aY61INBCuETi7R6TJfS1vE/edit#gid=0
2021-02-27,2021-03-02,YouGov,Economist,0,1,"Taking into consideration both your risk of contracting it and the seriousness of the illness, how worried are you personally about experiencing COVID-19?",a,all,1500,23.0,35.0,26.0,16.0,https://docs.cdn.yougov.com/t6j86u0k1g/econTabReport.pdf
2021-02-25,2021-03-01,AP-NORC,,0,1,How worried are you about you or someone in your family being infected with … The coronavirus,a,all,1434,31.0,36.0,24.0,9.0,https://apnorc.org/wp-content/uploads/2021/03/Feb-2021-topline-final.pdf
2021-02-25,2021-03-01,Monmouth U.,,0,1,"How concerned are you about someone in your family becoming seriously ill from the coronavirus outbreak – very concerned, somewhat concerned, not too concerned, or not at all concerned?",a,all,802,40.0,28.0,14.0,16.0,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_030821.pdf/
2021-02-26,2021-02-28,Harris Poll,,0,0,How concerned are you about the impact coronavirus (COVID-19) has on the following? The American economy,a,all,2000,45.0,38.0,11.0,6.0,https://theharrispoll.com/wp-content/uploads/2021/03/Wave-53-Data-Tabs.pdf
2021-02-26,2021-02-28,Léger,Association for Canadian Studies,0,1,Are you personally afraid of contracting the COVID-19 (Coronavirus)?,a,all,1002,22.0,32.0,17.0,17.0,https://leger360.com/wp-content/uploads/2021/03/Legers-North-American-Tracker-March-1st-2021-min.pdf
2021-02-19,2021-02-22,YouGov,Economist,0,1,"Taking into consideration both your risk of contracting it and the seriousness of the illness, how worried are you personally about experiencing COVID-19?",a,all,1500,23.0,35.0,25.0,17.0,https://docs.cdn.yougov.com/imdk8zumh5/econTabReport.pdf
2021-02-19,2021-02-21,Harris Poll,,0,0,How concerned are you about the impact coronavirus (COVID-19) has on the following? The American economy,a,all,1961,47.0,38.0,11.0,4.0,https://theharrispoll.com/wp-content/uploads/2021/02/Wave-52-Data-Tabs.pdf
2021-02-12,2021-02-18,Echelon Insights,,0,1,How personally concerned are you about the chances of you or someone in your family becoming infected with the coronavirus?,rv,all,1005,50.0,29.0,20.0,,https://echeloninsights.com/in-the-news/february-omnibus-covid/
2021-02-13,2021-02-16,YouGov,Economist,0,1,"Taking into consideration both your risk of contracting it and the seriousness of the illness, how worried are you personally about experiencing COVID-19?",a,all,1500,24.0,37.0,24.0,16.0,https://docs.cdn.yougov.com/3at75tb28w/econTabReport.pdf
2021-02-12,2021-02-15,YouGov,HuffPost,0,1,How concered are you that you or someone in your family will contract the coronavirus?,a,all,1000,35.0,34.0,14.0,11.0,https://big.assets.huffingtonpost.com/athena/files/2021/02/19/60303c7cc5b66dfc101ead5e.pdf
2021-02-12,2021-02-14,Harris Poll,,0,0,How concerned are you about the impact coronavirus (COVID-19) has on the following? The American economy,a,all,1984,46.0,39.0,11.0,4.0,https://theharrispoll.com/wp-content/uploads/2021/02/Wave-51-Data-Tabs.pdf
2021-02-12,2021-02-14,Léger,Association for Canadian Studies,0,1,Are you personally afraid of contracting the COVID-19 (Coronavirus)?,a,all,1002,25.0,33.0,16.0,15.0,https://2g2ckk18vixp3neolz4b6605-wpengine.netdna-ssl.com/wp-content/uploads/2021/02/Legers-North-American-Tracker-February-15th-2021-min.pdf
2021-02-06,2021-02-09,YouGov,Economist,0,1,"Taking into consideration both your risk of contracting it and the seriousness of the illness, how worried are you personally about experiencing COVID-19?",a,all,1500,26.0,35.0,23.0,16.0,https://docs.cdn.yougov.com/rqqxdo2ujy/econTabReport.pdf
2021-02-05,2021-02-07,YouGov,HuffPost,0,1,How concerned are you that you or someone in your family will contract the coronavirus?,a,all,1000,32.0,33.0,19.0,11.0,https://big.assets.huffingtonpost.com/athena/files/2021/02/11/6025c47bc5b6741597e0e0f2.pdf
2021-02-05,2021-02-07,Harris Poll,,0,0,How concerned are you about the impact coronavirus (COVID-19) has on the following? The American economy,a,all,2043,50.0,35.0,10.0,5.0,https://theharrispoll.com/wp-content/uploads/2021/02/Wave-50-Data-Tabs.pdf
2021-02-02,2021-02-02,Data for Progress,,0,1,How worried are you personally about experiencing coronavirus (COVID-19)?,a,all,1163,33.81,31.84,19.15,11.0,https://docs.google.com/spreadsheets/d/1dmzc8DpmtpppErDUVQWbqO9WofnPnccC4fQz2vEWDww/edit#gid=0
2021-01-31,2021-02-02,YouGov,Economist,0,1,"Taking into consideration both your risk of contracting it and the seriousness of the illness, how worried are you personally about experiencing COVID-19?",a,all,1500,25.0,37.0,24.0,14.0,https://docs.cdn.yougov.com/460mactkmh/econTabReport.pdf
2021-01-29,2021-01-31,Harris Poll,,0,0,How concerned are you about the impact coronavirus (COVID-19) has on the following? The American economy,a,all,2025,53.0,33.0,9.0,5.0,https://theharrispoll.com/wp-content/uploads/2021/02/Wave-49-Data-Tabs.pdf
2021-01-29,2021-01-31,Léger,Association for Canadian Studies,0,1,Are you personally afraid of contracting the COVID-19 (Coronavirus)?,a,all,1000,22.0,33.0,18.0,16.0,https://2g2ckk18vixp3neolz4b6605-wpengine.netdna-ssl.com/wp-content/uploads/2021/02/Legers-North-American-Tracker-February-1st-2021-min.pdf
2021-01-20,2021-01-26,Echelon Insights,,0,1,How personally concerned are you about the chances of you or someone in your family becoming infected with the coronavirus?,rv,all,1006,52.0,25.0,20.0,,https://echeloninsights.com/in-the-news/january-omnibus-covid-19-updates/
2021-01-15,2021-01-25,Langer Research Associates,COVID Collaborative,0,1,"How worried are you, if at all, about the possibility that you might catch the coronavirus?",a,all,1853,19.0,41.0,23.0,9.0,https://static1.squarespace.com/static/5f85f5a156091e113f96e4d3/t/6021a2c61a0f1569148a814d/1612817094461/COVID+Collaborative+Vaccine+Tracking_W1+Report.pdf
2021-01-22,2021-01-25,Harris Poll,,0,0,How concerned are you about the impact coronavirus (COVID-19) has on the following? The American economy,a,all,1956,53.0,33.0,10.0,4.0,https://theharrispoll.com/wp-content/uploads/2021/01/Wave-48-Data-Tabs.pdf
2021-01-21,2021-01-24,Monmouth U.,,0,1,"How concerned are you about someone in your family becoming seriously ill from the coronavirus outbreak – very concerned, somewhat concerned, not too concerned, or not at all concerned?",a,all,809,60.0,19.0,12.0,7.0,https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_020321/
2021-01-19,2021-01-20,Rasmussen (Pulse Opinion Research),,0,0,How concerned are you about the financial impact of the coronavirus?,a,all,1000,60.0,26.0,10.0,3.0,https://www.rasmussenreports.com/platinum/econ_crosstabs/january_2021/crosstabs_covid_unemployment_january_19_20_2021
2021-01-16,2021-01-19,YouGov,Economist,0,1,"Taking into consideration both your risk of contracting it and the seriousness of the illness, how worried are you personally about experiencing COVID-19?",a,all,1500,22.0,40.0,21.0,16.0,https://docs.cdn.yougov.com/4k61xul7y7/econTabReport.pdf
2021-01-15,2021-01-17,Harris Poll,,0,0,How concerned are you about the impact coronavirus (COVID-19) has on the following? The American economy,a,all,1960,52.0,34.0,9.0,5.0,https://theharrispoll.com/wp-content/uploads/2021/01/Wave-47-Data-Tabs.pdf
2021-01-15,2021-01-17,Léger,Association for Canadian Studies,0,1,Are you personally afraid of contracting the COVID-19 (Coronavirus)?,a,all,1003,28.0,32.0,16.0,15.0,https://leger360.com/wp-content/uploads/2021/01/Legers-North-American-Tracker-January-18th-2021-min.pdf?x16723
2021-01-13,2021-01-15,YouGov,CBS News,0,1,"Are you concerned, or not concerned about yourself personally or a close family member getting the coronavirus?",a,all,2166,34.0,35.0,19.0,12.0,https://drive.google.com/file/d/1H3uFRD7X0QttkZ26bccmlQVkbS-63uGj/view
2021-01-13,2021-01-13,Data for Progress,,0,1,How worried are you personally about experiencing coronavirus (COVID-19)?,a,all,946,33.09,36.55,14.92,12.78,https://docs.google.com/spreadsheets/d/1cIEEkzroSXxbD_ZzGK11C47wR7M_2FvaudZD3NOih4U/edit#gid=0
2021-01-10,2021-01-13,ABC,The Washington Post,0,1,"How do you feel about the possibility that you or someone in your immediate family might catch the coronavirus - very worried, somewhat worried, not too worried, or not worried at all?",a,all,1002,30.0,31.0,14.0,16.0,https://www.washingtonpost.com/context/jan-10-13-2021-washington-post-abc-news-poll/ab470cba-8e05-4692-af78-4949613740cc/
2021-01-10,2021-01-12,YouGov,Economist,0,1,"Taking into consideration both your risk of contracting it and the seriousness of the illness, how worried are you personally about experiencing COVID-19?",a,all,1500,22.0,40.0,22.0,16.0,https://docs.cdn.yougov.com/4yijjbkc2z/econTabReport.pdf
2021-01-08,2021-01-10,Harris Poll,,0,0,How concerned are you about the impact coronavirus (COVID-19) has on the following? The American economy,a,all,1951,50.0,34.0,11.0,5.0,https://theharrispoll.com/wp-content/uploads/2021/01/Wave-46-Data-Tabs.pdf
2021-01-08,2021-01-10,Morning Consult,,0,0,How concerned are you that the coronavirus will impact the following? U.S. economy,a,all,2200,58.0,27.0,5.0,3.0,https://assets.morningconsult.com/wp-uploads/2021/01/11130718/210120_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_LM.pdf
2020-12-30,2021-01-03,Léger,Association for Canadian Studies,0,1,Are you personally afraid of contracting the COVID-19 (Coronavirus)?,a,all,1003,25.0,33.0,17.0,15.0,https://leger360.com/wp-content/uploads/2021/01/Legers-North-American-Tracker-January-4th-2021-min.pdf?x16723
2020-12-31,2021-01-02,Morning Consult,,0,0,How concerned are you that the coronavirus will impact the following? U.S. economy,a,all,2200,59.0,28.0,5.0,2.0,https://assets.morningconsult.com/wp-uploads/2021/01/04133440/2012121_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_LM.pdf
2020-12-28,2020-12-30,Harris Poll,,0,0,How concerned are you about the impact coronavirus (COVID-19) has on the following? The American economy,a,all,1967,53.0,33.0,10.0,4.0,https://theharrispoll.com/wp-content/uploads/2021/01/Wave-44-Data-Tabs.pdf
2020-12-24,2020-12-26,Morning Consult,,0,0,How concerned are you that the coronavirus will impact the following? U.S. economy,a,all,2201,61.0,26.0,5.0,2.0,https://assets.morningconsult.com/wp-uploads/2020/12/21144114/201296_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_LM.pdf
2020-12-19,2020-12-22,YouGov,Economist,0,1,"Taking into consideration both your risk of contracting it and the seriousness of the illness, how worried are you personally about experiencing COVID-19?",a,all,1500,26.0,35.0,25.0,14.0,https://docs.cdn.yougov.com/df1m5n9hgq/econTabReport.pdf
2020-12-20,2020-12-21,Long Island University,,0,1,How concerned are you about someone in your family becoming seriously ill from the coronavirus?,a,all,1611,47.0,33.0,13.0,5.0,https://headlines.liu.edu/wp-content/uploads/2020/12/Long-Island-University-Hornstein-Center-National-Poll-Topline-Press-Release-12-23-2020.pdf
2020-12-18,2020-12-20,Harris Poll,,0,0,How concerned are you about the impact coronavirus (COVID-19) has on the following? The American economy,a,all,2028,49.0,34.0,11.0,5.0,https://theharrispoll.com/wp-content/uploads/2020/12/Wave-43-Data-Tabs.pdf
2020-12-17,2020-12-19,Morning Consult,,0,0,How concerned are you that the coronavirus will impact the following? U.S. economy,a,all,2201,57.0,29.0,5.0,3.0,https://assets.morningconsult.com/wp-uploads/2020/12/21144114/201296_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_LM.pdf
2020-12-11,2020-12-17,Echelon Insights,,0,1,How personally concerned are you about the chances of you or someone in your family becoming infected with the coronavirus?,rv,all,1000,45.0,28.0,26.0,,https://echeloninsights.com/in-the-news/december-omnibus-covid-19/
2020-12-13,2020-12-15,YouGov,Economist,0,1,"Taking into consideration both your risk of contracting it and the seriousness of the illness, how worried are you personally about experiencing COVID-19?",a,all,1500,26.0,38.0,23.0,13.0,https://docs.cdn.yougov.com/srb1xo6a05/econTabReport.pdf
2020-12-15,2020-12-15,Data for Progress,,0,1,How worried are you personally about experiencing coronavirus (COVID-19)?,a,all,1122,35.51,34.4,18.21,10.54,https://docs.google.com/spreadsheets/d/1xfWX85C4TLZfb3Og3NaOMpTUY5d3KCs-PMU3g1lQYyk/edit#gid=0
2020-12-11,2020-12-14,Ipsos (online),Axios,0,0,"How concerned are you, if at all, with the following? The U.S. economy collapsing during the coronavirus outbreak",a,all,1009,48.0,36.0,10.0,3.0,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-12/topline-axios-wave-33.pdf
2020-12-11,2020-12-13,Harris Poll,,0,0,How concerned are you about the impact coronavirus (COVID-19) has on the following? The American economy,a,all,2002,48.0,36.0,10.0,6.0,https://theharrispoll.com/wp-content/uploads/2020/12/Wave-42-Data-Tabs.pdf
2020-12-11,2020-12-13,Léger,Association for Canadian Studies,0,1,Are you personally afraid of contracting the COVID-19 (Coronavirus)?,a,all,1001,25.0,34.0,17.0,18.0,https://leger360.com/wp-content/uploads/2020/12/Legers-North-American-Tracker-December-14th-2020-min.pdf?x43558
2020-11-30,2020-12-08,Kaiser Family Foundation,,0,1,"How worried, if at all, are you that you or someone in your family will get sick from the coronavirus ? Are you very worried, somewhat worried, not too worried, or not at all worried?",a,all,1676,30.0,38.0,15.0,14.0,http://files.kff.org/attachment/Topline-KFF-COVID-19-Vaccine-Monitor-December-2020.pdf
2020-12-06,2020-12-08,YouGov,Economist,0,1,"Taking into consideration both your risk of contracting it and the seriousness of the illness, how worried are you personally about experiencing COVID-19?",a,all,1500,25.0,37.0,26.0,12.0,https://docs.cdn.yougov.com/16pm5nhx8r/econTabReport.pdf
2020-12-04,2020-12-07,Ipsos (online),Axios,0,0,"How concerned are you, if at all, with the following? The U.S. economy collapsing during the coronavirus outbreak",a,all,1101,52.0,34.0,10.0,3.0,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-12/topline-axios-wave-32.pdf
2020-12-03,2020-12-07,AP-NORC,,0,1,How worried are you about you or someone in your family being infected with … The coronavirus,a,all,1117,43.0,34.0,16.0,8.0,https://apnorc.org/wp-content/uploads/2020/12/topline_vaccine.pdf
2020-12-01,2020-12-07,Quinnipiac,,0,1,"How concerned are you that you or someone you know will be infected with the coronavirus: very concerned, somewhat concerned, not so concerned, or not concerned at all?",rv,all,978,46.0,31.0,13.0,10.0,https://poll.qu.edu/national/release-detail?ReleaseID=3684
2020-12-04,2020-12-06,Harris Poll,,0,0,How concerned are you about the impact coronavirus (COVID-19) has on the following? The American economy,a,all,1994,51.0,34.0,10.0,6.0,https://theharrispoll.com/wp-content/uploads/2020/12/Wave-41-Data-Tabs.pdf
2020-12-04,2020-12-06,Morning Consult,,0,0,How concerned are you that the coronavirus will impact the following? U.S. economy,a,all,2200,63.0,25.0,4.0,2.0,https://assets.morningconsult.com/wp-uploads/2020/12/07133951/201213_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_LM-1.pdf
2020-11-30,2020-12-02,Harris Poll,,0,0,How concerned are you about the impact coronavirus (COVID-19) has on the following? The American economy,a,all,1980,50.0,35.0,9.0,6.0,https://theharrispoll.com/wp-content/uploads/2020/12/Wave-40-Data-Tabs.pdf
2020-11-27,2020-11-29,Léger,Association for Canadian Studies,0,1,Are you personally afraid of contracting the COVID-19 (Coronavirus)?,a,all,1002,26.0,31.0,18.0,17.0,https://leger360.com/wp-content/uploads/2020/11/Legers-North-American-Tracker-November-30th-2020-min.pdf
2020-11-26,2020-11-29,Morning Consult,,0,0,How concerned are you that the coronavirus will impact the following? U.S. economy,a,all,2200,61.0,23.0,5.0,2.0,https://assets.morningconsult.com/wp-uploads/2020/11/30105909/2011106_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_LM.pdf
2020-11-21,2020-11-24,YouGov,Economist,0,1,"Taking into consideration both your risk of contracting it and the seriousness of the illness, how worried are you personally about experiencing COVID-19?",rv,all,1500,25.0,38.0,23.0,14.0,https://docs.cdn.yougov.com/jy5um9f1tw/econTabReport.pdf
2020-11-19,2020-11-23,Morning Consult,,0,0,How concerned are you that the coronavirus will impact the following? U.S. economy,a,all,2200,60.0,27.0,4.0,2.0,https://assets.morningconsult.com/wp-uploads/2020/11/24152942/201193_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_LM-1.pdf
2020-11-20,2020-11-22,Maru/Blue,,0,1,How concerned are you that you could catch the COVID-19 virus?,a,all,1513,36.0,39.0,17.0,8.0,https://static1.squarespace.com/static/5a5d2933a8b2b0f49d244724/t/5fbd8ff2804a27108d78681a/1606258674732/Omnibus+Thanksgiving+Travel.pdf
2020-11-19,2020-11-21,Harris Poll,,0,0,How concerned are you about the impact coronavirus (COVID-19) has on the following? The American economy,a,all,2042,51.0,33.0,12.0,5.0,https://theharrispoll.com/wp-content/uploads/2020/11/wave_39.pdf
2020-11-16,2020-11-20,Echelon Insights,,0,1,How personally concerned are you about the chances of you or someone in your family becoming infected with the coronavirus?,lv,all,1001,47.0,28.0,23.0,,https://echeloninsights.com/in-the-news/november-omnibus-covid-19/
2020-11-13,2020-11-16,YouGov,HuffPost,0,1,How concerned are you that you or someone in your family will contract the coronavirus?,rv,all,1000,38.0,31.0,17.0,12.0,https://docs.cdn.yougov.com/41uyvwxit7/tabs_HP_Coronavirus_20201113.pdf
2020-11-13,2020-11-15,Léger,Association for Canadian Studies,0,1,Are you personally afraid of contracting the COVID-19 (Coronavirus)?,a,all,1003,25.0,34.0,16.0,16.0,https://leger360.com/wp-content/uploads/2020/11/Legers-Weekly-Survey-November-16th-2020-min.pdf
2020-11-12,2020-11-14,Morning Consult,,0,0,How concerned are you that the coronavirus will impact the following? U.S. economy,a,all,2200,58.0,28.0,4.0,3.0,https://assets.morningconsult.com/wp-uploads/2020/11/16124949/201144_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_LM.pdf
2020-11-11,2020-11-13,Harris Poll,,0,0,How concerned are you about the impact coronavirus (COVID-19) has on the following? The American economy,a,all,1963,51.0,34.0,10.0,4.0,https://theharrispoll.com/wp-content/uploads/2020/11/Wave-38-Data-Tabs.pdf
2020-11-08,2020-11-10,YouGov,Economist,0,1,"Taking into consideration both your risk of contracting it and the seriousness of the illness, how worried are you personally about experiencing COVID-19?",rv,all,1500,23.0,36.0,23.0,18.0,https://docs.cdn.yougov.com/9j7sr0my95/econTabReport.pdf
2020-11-06,2020-11-09,Morning Consult,,0,0,How concerned are you that the coronavirus will impact the following? U.S. economy,a,all,2200,57.0,28.0,4.0,3.0,https://assets.morningconsult.com/wp-uploads/2020/11/10112538/201117_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_LM.pdf
2020-11-06,2020-11-08,Léger,Association for Canadian Studies,0,1,Are you personally afraid of contracting the COVID-19 (Coronavirus)?,a,all,1002,25.0,35.0,17.0,17.0,https://leger360.com/wp-content/uploads/2020/11/Legers-Weekly-Survey-November-9th-2020-min-2.pdf
2020-11-05,2020-11-07,Harris Poll,,0,0,How concerned are you about the impact coronavirus (COVID-19) has on the following? The American economy,a,all,1983,45.0,37.0,11.0,7.0,https://theharrispoll.com/wp-content/uploads/2020/11/Wave-37_Banners.pdf
2020-10-31,2020-11-02,YouGov,Economist,0,1,"Taking into consideration both your risk of contracting it and the seriousness of the illness, how worried are you personally about experiencing COVID-19?",rv,all,1500,24.0,38.0,24.0,14.0,https://docs.cdn.yougov.com/jsojry0vph/econTabReport.pdf
2020-10-26,2020-11-01,SurveyMonkey,NBC News,0,0,How worried are you that the coronavirus outbreak will have a negative economic effect on the United States?,a,all,91214,60.0,29.0,7.0,3.0,https://www.surveymonkey.com/curiosity/nbc-poll-covid-oct25/
2020-10-30,2020-11-01,YouGov,Yahoo News,0,1,"Taking into consideration both your risk of contracting it and the seriousness of the illness, how worried are you personally about experiencing COVID-19?",lv,all,1360,30.0,36.0,20.0,14.0,https://docs.cdn.yougov.com/9uv1pif4fj/20201101_yahoo_coronavirus_tabs.pdf
2020-10-30,2020-11-01,YouGov,Yahoo News,0,1,"Taking into consideration both your risk of contracting it and the seriousness of the illness, how worried are you personally about experiencing COVID-19?",rv,all,1500,30.0,35.0,19.0,15.0,https://docs.cdn.yougov.com/9uv1pif4fj/20201101_yahoo_coronavirus_tabs.pdf
2020-10-29,2020-10-31,Morning Consult,,0,0,How concerned are you that the coronavirus will impact the following? U.S. economy,a,all,2200,57.0,29.0,5.0,3.0,https://assets.morningconsult.com/wp-uploads/2020/11/02141747/2010155_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_LM.pdf
2020-10-29,2020-10-31,Harris Poll,,0,0,How concerned are you about the impact coronavirus (COVID-19) has on the following? The American economy,a,all,1954,52.0,33.0,11.0,5.0,https://theharrispoll.com/wp-content/uploads/2020/11/Wave-36-tabs.pdf
2020-10-25,2020-10-27,YouGov,Economist,0,1,"Taking into consideration both your risk of contracting it and the seriousness of the illness, how worried are you personally about experiencing COVID-19?",lv,all,1365,25.0,38.0,23.0,14.0,https://docs.cdn.yougov.com/1ace2lgidt/econTabReport.pdf
2020-10-25,2020-10-27,YouGov,Economist,0,1,"Taking into consideration both your risk of contracting it and the seriousness of the illness, how worried are you personally about experiencing COVID-19?",rv,all,1500,26.0,37.0,23.0,14.0,https://docs.cdn.yougov.com/1ace2lgidt/econTabReport.pdf
2020-10-23,2020-10-27,YouGov,HuffPost,0,1,How concerned are you that you or someone in your family will contract the coronavirus?,rv,all,1000,34.0,33.0,20.0,11.0,https://big.assets.huffingtonpost.com/athena/files/2020/10/28/5f99eeb3c5b6aab57a0f1a0e.pdf
